8,-0.0653,-0.0566,1.3737,0.4032,Quebro
29,-0.0173,0.0233,2.0538,0.3484,NoQuebro
25,0.1933,0.0473,2.2506,0.3309,NoQuebro
40,-0.333,-0.0854,3.0124,0.473,NoQuebro
42,0.5603,0.1112,4.2918,0.4443,NoQuebro
24,0.3776,0.1075,3.2651,0.3548,NoQuebro
41,0.4785,0.091,1.2444,0.1847,NoQuebro
13,0.0109,0.0011,2.1495,0.6969,Quebro
11,-0.2298,-0.2961,0.331,0.1824,Quebro
20,0.1227,0.1055,1.1434,0.1655,Quebro
38,0.2907,0.0597,1.8381,0.3786,NoQuebro
34,0.1398,-0.0312,0.4611,0.2643,NoQuebro
23,0.0769,0.0195,2.0069,0.5304,NoQuebro
19,0.0115,-0.0032,1.2602,0.6038,Quebro
22,0.5135,0.1001,2.4871,0.5368,NoQuebro
45,0.1661,0.0351,2.4527,0.137,NoQuebro
27,0.3132,0.0511,4.45,0.6852,NoQuebro
3,0.0643,0.0156,1.0077,0.3978,Quebro
10,-0.1353,-0.1433,1.4196,0.4347,Quebro
35,0.1379,0.0728,2.6123,0.5151,NoQuebro
16,0.3703,0.1098,1.9941,0.3828,Quebro
9,0.0724,-0.0076,1.3723,0.3361,Quebro
21,-0.2843,-0.2703,1.2722,0.5128,Quebro
33,-0.0985,-0.0123,2.5029,0.5778,NoQuebro
44,0.4746,0.138,2.9166,0.4487,NoQuebro
32,0.146,0.0518,2.1692,0.55,NoQuebro
14,-0.2777,-0.2316,1.1918,0.6601,Quebro
43,0.2029,0.0792,1.9936,0.3018,NoQuebro
28,0.1184,0.0499,2.521,0.6925,NoQuebro
5,-0.1002,-0.0917,1.5644,0.6683,Quebro
30,0.2169,0.0779,2.3489,0.397,NoQuebro
46,0.5808,0.0371,5.0594,0.1268,NoQuebro
36,0.1486,0.0564,2.2347,0.5563,NoQuebro
18,0.0451,0.0263,1.6756,0.9494,Quebro
12,0.0713,0.0205,1.3124,0.2497,Quebro
1,-0.4485,-0.4106,1.0865,0.4526,Quebro
15,0.1454,0.05,1.8762,0.2723,Quebro
26,0.3248,0.0718,4.2401,0.6279,NoQuebro
37,0.1633,0.0486,2.308,0.1978,NoQuebro
17,-0.0757,-0.0821,1.5077,0.4215,Quebro
2,-0.5633,-0.3114,1.5134,0.1642,Quebro
6,-0.1421,-0.0651,0.7066,0.2794,Quebro
4,-0.0721,-0.093,1.4544,0.2589,Quebro
39,0.5383,0.1064,2.3293,0.4835,NoQuebro
31,0.1703,0.0695,1.7973,0.5174,NoQuebro
7,-0.0351,-0.0147,1.5046,0.708,Quebro
50,0.0203,0.0023,0.0778,0.0407,NoQuebro
51,0.0141,0.007,0.0675,0.0227,NoQuebro
52,0.0048,0.0239,0.0693,0.0269,Quebro
53,0.0062,0.0054,0.0684,0.0239,Quebro
54,0.0009,0.0082,0.0959,0.0035,NoQuebro
55,0.0166,0.0014,0.0859,0.007,NoQuebro
56,0.0032,0.0102,0.0846,0.0182,NoQuebro
57,0.0061,0.0103,0.1015,0.0199,NoQuebro
58,0.0002,0.0027,0.0808,0.0355,Quebro
59,0.0003,0.0084,0.0934,0.0047,NoQuebro
60,0.0201,0.0011,0.0599,0.0315,Quebro
61,0.0131,0.0123,0.0568,0.0223,Quebro
62,0.0007,0.0312,0.0712,0.0214,Quebro
63,0.0086,0.0044,0.0631,0.0138,NoQuebro
64,0.0118,0.0009,0.0717,0.024,Quebro
65,0.013,0.0002,0.0376,0.0135,Quebro
66,0.0188,0.0137,0.0525,0.0096,Quebro
67,0.0035,0.0139,0.0732,0.0118,NoQuebro
68,0.0001,0.0018,0.0828,0.018,NoQuebro
69,0.0056,0.0146,0.0803,0.0327,NoQuebro
70,0.0058,0.0191,0.0852,0.0223,NoQuebro
71,0.0065,0.0037,0.085,0.0108,Quebro
72,0.0144,0.0182,0.0566,0.0019,Quebro
73,0.0033,0.0106,0.0861,0.0183,NoQuebro
74,0.0043,0.0087,0.0763,0.0502,Quebro
75,0.0109,0.0005,0.0788,0.0309,NoQuebro
76,0.0069,0.0097,0.0732,0.0056,NoQuebro
77,0.0058,0.0193,0.0775,0.0042,Quebro
78,0.0079,0.0086,0.0655,0.008,NoQuebro
79,0.0024,0.0225,0.0816,0.0351,NoQuebro
80,0.0152,0.006,0.0741,0.0157,Quebro
81,0.0013,0.0063,0.0866,0.0051,NoQuebro
82,0.0079,0.0079,0.085,0.0148,NoQuebro
83,0.0069,0.0073,0.0664,0.0145,Quebro
84,0.002,0.0027,0.0619,0.0295,Quebro
85,0.0054,0.0098,0.0597,0.0137,Quebro
